N,P,K,temperature,humidity,ph,rainfall,label,irrigation_requirement
87.49,58.77,45.98,25.99,77.34,5.81,205.81,rice,4.18
97.32,50.03,45.62,20.21,89.55,7.16,221.23,rice,1.53
83.64,39.59,39.56,25.25,81.48,6.08,261.19,rice,4.65
82.79,42.3,40.5,24.56,86.78,5.9,251.42,rice,3.72
91.85,36.16,44.11,21.71,75.98,7.4,296.56,rice,4.85
96.17,42.62,36.47,26.84,81.6,5.74,249.52,rice,4.88
80.69,57.73,38.88,26.63,79.68,6.54,254.67,rice,5.11
83.7,59.24,46.63,29.39,88.42,6.7,292.19,rice,5.82
81.77,39.9,35.68,23.25,80.83,6.04,282.87,rice,4.55
87.14,42.02,43.14,21.41,87.03,5.65,298.69,rice,3.69
95.44,39.97,35.08,28.15,85.6,6.96,277.13,rice,5.43
81.48,43.96,36.74,28.63,84.35,6.16,206.36,rice,4.28
86.22,43.13,45.94,26.38,88.31,6.44,211.96,rice,3.32
94.26,54.02,43.42,27.71,82.41,6.55,242.75,rice,4.93
80.51,37.7,35.47,26.36,79.72,6.52,290.76,rice,5.75
84.99,45.26,46.33,22.29,76.15,6.08,216.12,rice,3.39
98.59,55.2,44.5,28.71,87.06,5.87,289.26,rice,5.69
90.79,55.19,48.44,23.18,76.65,5.96,242.71,rice,4.14
96.36,56.52,35.1,25.11,81.26,5.94,211.99,rice,3.65
86.75,58.57,39.85,25.19,85.55,6.23,297.18,rice,4.95
99.25,41.29,42.46,23.01,79.27,5.57,260.96,rice,4.19
90.05,36.29,39.18,29.08,78.59,5.79,248.95,rice,5.84
99.71,41.05,45.08,27.62,78.56,6.96,236.78,rice,5.16
92.65,50.84,43.04,20.9,87.53,6.14,218.65,rice,1.89
80.82,49.77,45.16,20.17,82.68,5.95,264.52,rice,3.07
83.49,52.27,40.8,29.37,77.06,6.18,211.35,rice,5.33
98.49,56.93,38.87,26.6,87.26,6.61,252.97,rice,4.31
84.84,37.33,48.46,29.0,84.5,6.18,234.92,rice,4.95
94.52,57.43,48.31,27.8,84.63,5.67,216.16,rice,4.2
97.97,50.16,35.14,21.01,84.95,5.51,216.08,rice,2.13
90.97,52.3,44.78,22.24,85.68,5.97,232.54,rice,2.76
94.93,51.24,47.74,26.58,83.52,5.69,236.77,rice,4.36
85.3,41.1,49.6,23.93,88.38,6.76,279.48,rice,3.93
90.05,49.42,42.39,21.95,85.84,6.06,202.43,rice,2.05
92.91,39.43,49.11,29.54,88.72,6.24,201.55,rice,4.02
98.57,45.7,49.5,29.64,87.8,6.09,238.51,rice,4.88
97.02,42.92,37.54,25.57,89.04,6.89,257.01,rice,3.91
81.94,50.38,49.85,21.4,82.77,7.25,274.08,rice,3.62
93.94,52.56,40.39,22.94,87.14,7.12,286.71,rice,3.9
98.26,47.78,42.52,27.98,84.75,6.9,279.58,rice,5.51
97.8,43.45,40.63,20.94,83.67,5.57,246.56,rice,2.85
90.85,42.16,43.86,20.31,75.56,7.15,236.02,rice,3.26
82.54,48.06,46.55,22.16,84.34,5.67,205.17,rice,2.32
90.63,48.52,44.56,27.26,89.64,6.53,232.3,rice,3.86
95.9,41.77,41.58,20.78,75.38,7.43,283.6,rice,4.37
93.92,45.22,37.6,21.56,78.75,6.6,271.46,rice,4.02
93.2,42.0,49.32,27.38,83.32,6.72,241.96,rice,4.72
84.95,43.9,46.37,20.14,76.74,5.59,204.07,rice,2.45
97.11,52.59,42.11,20.98,82.37,6.45,217.32,rice,2.4
88.68,44.96,44.24,26.35,75.68,6.25,262.59,rice,5.59
90.06,56.41,44.88,21.63,76.06,6.78,202.65,rice,2.94
91.72,58.51,43.63,23.88,84.65,6.42,254.56,rice,3.79
98.83,44.65,49.42,29.05,77.94,5.64,210.08,rice,5.12
80.36,37.36,45.25,20.71,79.78,7.19,202.33,rice,2.28
96.29,42.05,36.77,26.97,84.43,7.25,273.51,rice,5.12
96.07,42.05,37.66,27.51,87.1,7.48,241.26,rice,4.37
87.44,54.41,40.11,29.31,87.88,6.36,275.09,rice,5.51
95.09,37.58,48.54,25.05,87.4,6.14,289.55,rice,4.57
87.78,35.27,48.58,20.91,79.79,7.4,295.06,rice,4.2
91.47,50.8,41.73,22.93,79.93,6.85,275.24,rice,4.39
95.83,54.74,36.37,24.94,75.86,6.6,244.15,rice,4.78
97.75,43.77,36.76,21.43,86.42,6.74,210.11,rice,1.99
81.68,52.52,36.09,28.22,85.59,5.66,208.48,rice,4.08
99.73,44.36,40.56,28.13,89.21,7.47,275.34,rice,5.02
87.53,37.09,46.66,25.58,81.36,7.31,211.12,rice,3.76
89.85,35.28,42.03,20.56,76.78,5.74,264.92,rice,3.79
94.92,49.58,49.43,23.75,79.29,7.24,222.36,rice,3.64
99.26,35.3,49.55,20.43,88.37,6.56,299.3,rice,3.28
81.48,48.85,49.54,25.23,84.44,6.89,245.45,rice,4.03
92.55,49.61,48.52,20.45,79.21,7.4,289.03,rice,4.0
89.11,50.5,39.16,21.88,81.96,6.21,258.37,rice,3.54
81.55,59.36,49.79,26.98,83.04,6.12,281.38,rice,5.42
93.69,39.07,48.66,28.23,89.25,6.95,261.34,rice,4.77
88.36,58.32,47.99,20.45,75.4,6.25,281.06,rice,4.22
99.75,38.76,43.91,23.81,89.55,7.18,283.83,rice,3.86
89.37,45.37,39.1,20.56,87.97,7.13,299.97,rice,3.37
99.93,48.89,46.53,29.45,87.74,5.99,245.05,rice,4.96
82.58,58.85,44.09,22.29,85.08,6.74,235.82,rice,2.89
82.27,51.79,42.8,27.72,82.8,7.2,255.19,rice,5.14
