actual\predicted,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,193,6,0,0,0,0,0,1,0,0,0,0,0,0,0
Pepper__bell___healthy,4,297,0,0,1,0,0,0,0,0,0,0,0,0,0
Potato___Early_blight,1,0,186,2,0,0,0,0,0,0,0,0,0,0,0
Potato___Late_blight,0,0,3,171,11,0,1,2,0,0,0,0,0,0,0
Potato___healthy,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0
Tomato_Bacterial_spot,0,2,0,0,0,407,7,3,0,15,2,4,0,0,1
Tomato_Early_blight,3,0,4,3,0,11,110,10,6,16,6,17,1,0,4
Tomato_Late_blight,0,0,1,11,1,4,11,273,11,6,9,10,0,1,3
Tomato_Leaf_Mold,0,0,0,0,0,3,2,1,163,6,7,0,0,3,0
Tomato_Septoria_leaf_spot,1,0,2,0,0,11,7,2,8,336,3,12,0,4,6
Tomato_Spider_mites_Two_spotted_spider_mite,0,1,0,0,0,0,0,0,0,0,274,27,1,5,24
Tomato__Target_Spot,1,1,0,0,2,2,2,0,0,4,16,201,0,2,30
Tomato__Tomato_YellowLeaf__Curl_Virus,2,1,0,0,0,11,1,1,5,4,14,4,585,4,2
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,2,0,75,1
Tomato_healthy,0,0,0,0,0,0,0,0,0,0,0,2,0,0,360
